Choice_r,IF_sens_r,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.39
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.38
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.37
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.36
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.35
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.34
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.33
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.32
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.31
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.3
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.29
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.28
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.27
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.26
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.25
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.24
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.23
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.22
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.21
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.2
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.19
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.18
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.17
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.16
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.15
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.14
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.13
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.12
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.11
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.1
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.09
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.08
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.07
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.06
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.05
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.04
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.03
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.02
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.01
0.03,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,0.0
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-1.0
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.99
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.98
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.97
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.96
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.95
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.94
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.93
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.92
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.91
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.9
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.89
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.88
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.87
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.86
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.85
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.84
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.83
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.82
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.81
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.8
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.79
0.04,4.0,1.0,1.0,0.37185459365931184,NaN,163.01292326644543,-0.78
