Goal_l,IF_thresh_l,reliab_avg,reliab_min,Infrast_end,π_end,d_end,Δμ_pc
1.02,0.0,0.97780986571134,0.6417718142342341,0.4028495082066062,285.09670354601093,154.20963848466008,-0.89
1.02,0.0,0.9782573589089978,0.6476388385953008,0.3993113292245993,284.99414966628365,154.38940084842068,-0.88
1.02,0.0,0.9787040718733607,0.653505862956367,0.3961733584778931,284.9625425459012,154.56973938570985,-0.87
1.02,0.0,0.9791500138698432,0.6593728873174337,0.3934255325246106,284.98508724930974,154.73537878732478,-0.86
1.02,0.0,0.9795951966183335,0.6652399116785,0.39089447381128073,285.04575168255514,154.91681653524222,-0.85
1.02,0.0,0.9800396343981975,0.6711069360395667,0.38859718237355206,285.13051856934203,155.09884477692987,-0.84
1.02,0.0,0.9804833440943908,0.6769739604006332,0.3864996176452485,285.2280255111563,155.28147090171814,-0.83
1.02,0.0,0.9809263451725129,0.6828409847616999,0.3845743397604879,285.3296897397316,155.46470181009758,-0.82
1.02,0.0,0.9813686595708543,0.6887080091227661,0.3827991550789211,285.42948726175587,155.64854371270772,-0.81
1.02,0.0,0.9818103114976416,0.6945750334838326,0.38121060427223924,285.5235564369219,155.81871752210913,-0.8
1.02,0.0,0.9822513271211962,0.7004420578448993,0.37968760868775536,285.6097601179501,156.00326303768097,-0.79
1.02,0.0,0.982691734138917,0.7063090822059658,0.3782751647229186,285.6872910200237,156.1883282930179,-0.78
1.02,0.0,0.9831315612073945,0.7121761065670322,0.3769707355207652,285.75632211903263,156.37390472335952,-0.77
1.02,0.0,0.9835411832960462,0.7180431309280988,0.3757765409159302,285.81600972994755,156.5599867482265,-0.76
1.02,0.0,0.9838821265469984,0.7239101552891652,0.37467078561489764,285.8290591667829,156.74455024016464,-0.75
1.02,0.0,0.9842210753921936,0.7297771796502318,0.37361424930453685,284.87717190712505,156.90372351886037,-0.74
1.02,0.0,0.9845595603033698,0.7356442040112982,0.37251542785542874,283.9250622815662,157.0791757938711,-0.73
1.02,0.0,0.9848975818608336,0.7415112283723648,0.3714212405037471,282.9726898733944,157.25489594376353,-0.72
1.02,0.0,0.985235140514652,0.7473782527334314,0.37034646041224817,282.0200243900356,157.43088281667812,-0.71
1.02,0.0,0.9855755515742336,0.7532452770944978,0.3693344373342298,280.93168555716926,157.61008723978068,-0.7
1.02,0.0,0.9859171304339419,0.7591123014555643,0.3684727621670573,279.8264408717928,157.7563426487276,-0.69
1.02,0.0,0.9862610877974369,0.7649793258166306,0.36793738565212863,278.73449865905076,157.8152498474471,-0.68
1.02,0.0,0.9866049047130387,0.7708463501776973,0.36746405014903966,277.6405794098752,157.86402900681887,-0.67
1.02,0.0,0.986948580749572,0.7767133745387637,0.3670144499945773,276.54527300771673,157.9126991982952,-0.66
1.02,0.0,0.9872921154243058,0.7825803988998303,0.3665883272202592,275.45022245532454,157.96143863831907,-0.65
1.02,0.0,0.9876355082002344,0.7884474232608967,0.3662510408451267,274.359192294777,157.98807439306358,-0.64
1.02,0.0,0.9879787584837983,0.7943144476219633,0.3660300626530833,273.27940915025107,157.98261409893,-0.63
1.02,0.0,0.9883218656232386,0.8001814719830298,0.3658273857249071,272.22082490021273,157.97687416526034,-0.62
1.02,0.0,0.9886648289078273,0.8060484963440964,0.3656279812015884,271.1872776523034,157.97174783848087,-0.61
1.02,0.0,0.9890076475682654,0.8119155207051626,0.3651929988879113,270.14681306685964,158.01369363914216,-0.6
1.02,0.0,0.9893503207786108,0.8177825450662295,0.36483068952593567,269.09200947700396,158.06274801230788,-0.59
1.02,0.0,0.9896928476601564,0.8236495694272958,0.36451950001478856,268.0120207811505,158.11148490428175,-0.58
1.02,0.0,0.9900352272877754,0.8295165937883626,0.3642185264502718,266.89849394114185,158.16001606401286,-0.57
1.02,0.0,0.9903774586993274,0.8353836181494289,0.3639281193111849,265.75946986821054,158.20799241428932,-0.56
1.02,0.0,0.9907195409088215,0.8412506425104955,0.36364915736629566,264.59994261967296,158.25569899054497,-0.55
1.02,0.0,0.9910614729241399,0.8471176668715619,0.3633823618381318,263.4214708362662,158.30318677681527,-0.54
