MagCAPShock,Decay_hard,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.28,0.035,51.0,1.0,1.0,199.23222900905137,606.1663644113107,-0.28
-0.27,0.035,51.0,1.0,1.0,199.28429747873741,606.2715739573993,-0.27
-0.26,0.035,51.0,1.0,1.0,199.33606769887245,606.3660950943477,-0.26
-0.25,0.035,51.0,1.0,1.0,199.3875814866867,606.4486008876358,-0.25
-0.24,0.035,51.0,1.0,1.0,199.43888952275387,606.516118080531,-0.24
-0.23,0.035,51.0,1.0,1.0,199.4900574381484,606.5743605984271,-0.23
-0.22,0.035,51.0,1.0,1.0,199.54118495126755,606.6238376083262,-0.22
-0.21,0.035,51.0,1.0,1.0,199.59249977660662,606.6651144276134,-0.21
-0.2,0.035,51.0,1.0,1.0,199.64205255602255,606.6987851452102,-0.2
-0.19,0.035,51.0,1.0,1.0,199.68954004585214,606.7254514443966,-0.19
-0.18,0.035,51.0,1.0,1.0,199.73696851411688,606.745707518162,-0.18
-0.17,0.035,51.0,1.0,1.0,199.7843517941128,606.7601300914008,-0.17
-0.16,0.035,51.0,1.0,1.0,199.83169971621916,606.7692710180173,-0.16
-0.15,0.035,51.0,1.0,1.0,201.25072872044495,604.8359548267126,-0.15
-0.14,0.035,51.0,1.0,1.0,203.29814610941483,570.7955691268521,-0.14
-0.13,0.035,51.0,1.0,1.0,205.58886531061742,582.1811744268738,-0.13
-0.12,0.035,51.0,1.0,1.0,206.13207154848973,596.9893853628139,-0.12
-0.11,0.035,51.0,1.0,1.0,207.34227428310837,602.0111882608486,-0.11
-0.1,0.035,51.0,1.0,1.0,208.95360609347827,607.011804373193,-0.1
-0.09,0.035,51.0,1.0,1.0,211.13439045405713,600.33356819354,-0.09
-0.08,0.035,51.0,1.0,1.0,212.2539362904497,603.3280770702246,-0.08
-0.07,0.035,51.0,1.0,1.0,212.64157016355753,590.5769423205982,-0.07
-0.06,0.035,51.0,1.0,1.0,212.02684424807254,625.6399549919332,-0.06
-0.05,0.035,51.0,1.0,1.0,210.5101952256703,628.7639098187742,-0.05
-0.04,0.035,51.0,1.0,1.0,216.73009354228898,620.7275429505312,-0.04
-0.03,0.035,51.0,1.0,1.0,214.64716984194365,617.470434316007,-0.03
-0.02,0.035,51.0,1.0,1.0,219.2647714117582,602.7278614483592,-0.02
-0.01,0.035,51.0,1.0,1.0,217.33244263652452,639.1066126156076,-0.01
0.0,0.035,51.0,1.0,1.0,213.9347756353988,645.2335731009864,0.0
-1.0,0.04,51.0,1.0,1.0,194.6270312966626,573.8796075495385,-1.0
-0.99,0.04,51.0,1.0,1.0,194.78432512193143,590.3303737654259,-0.99
-0.98,0.04,51.0,1.0,1.0,194.6451090075363,605.044413321492,-0.98
-0.97,0.04,51.0,1.0,1.0,195.11602093075285,598.8066572286237,-0.97
-0.96,0.04,51.0,1.0,1.0,195.33954443975526,596.8328239435904,-0.96
-0.95,0.04,51.0,1.0,1.0,195.38368306789144,599.2924931101697,-0.95
-0.94,0.04,51.0,1.0,1.0,195.38298699202196,602.3560850707713,-0.94
-0.93,0.04,51.0,1.0,1.0,195.37843221166597,605.3840113709566,-0.93
-0.92,0.04,51.0,1.0,1.0,195.58314983041834,599.7193297062244,-0.92
-0.91,0.04,51.0,1.0,1.0,195.7540050190374,593.7157887599587,-0.91
-0.9,0.04,51.0,1.0,1.0,195.4199170961987,587.6830660531718,-0.9
-0.89,0.04,51.0,1.0,1.0,195.8571422942398,581.9638095930048,-0.89
-0.88,0.04,51.0,1.0,1.0,195.77004436980337,575.1996133100391,-0.88
-0.87,0.04,51.0,1.0,1.0,195.66355897651945,566.9328077329149,-0.87
-0.86,0.04,51.0,1.0,1.0,195.54759776677204,560.5327345875643,-0.86
-0.85,0.04,51.0,1.0,1.0,195.585030914398,565.805988686749,-0.85
-0.84,0.04,51.0,1.0,1.0,195.77249293797738,574.9544605236804,-0.84
-0.83,0.04,51.0,1.0,1.0,196.0639441400021,582.6488642394515,-0.83
-0.82,0.04,51.0,1.0,1.0,196.07562159628213,589.1812666326746,-0.82
-0.81,0.04,51.0,1.0,1.0,196.308883893385,595.5341064699427,-0.81
-0.8,0.04,51.0,1.0,1.0,196.06291641066542,601.8933765711715,-0.8
-0.79,0.04,51.0,1.0,1.0,196.3583373933427,609.0122952254112,-0.79
-0.78,0.04,51.0,1.0,1.0,196.36102675750269,607.5711350896494,-0.78
