MagCAPShock,IF_thresh_s,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.07,0.02,51.0,1.0,1.0,212.60566407963182,569.1006824833897,-0.07
-0.06,0.02,51.0,1.0,1.0,213.90352406032446,524.4619697542726,-0.06
-0.05,0.02,51.0,1.0,1.0,214.87992502075676,583.3019576930576,-0.05
-0.04,0.02,51.0,1.0,1.0,217.78884420331286,530.9940203739081,-0.04
-0.03,0.02,51.0,1.0,1.0,218.37443995483457,521.9535205462973,-0.03
-0.02,0.02,51.0,1.0,1.0,219.87108060212037,574.3741270878286,-0.02
-0.01,0.02,51.0,1.0,1.0,221.86331665010957,554.5762347822147,-0.01
0.0,0.02,51.0,1.0,1.0,222.61323266366765,517.9352177519958,0.0
-1.0,0.03,51.0,1.0,1.0,194.67239997955744,555.9331695667048,-1.0
-0.99,0.03,51.0,1.0,1.0,194.56743525105773,568.7282718880006,-0.99
-0.98,0.03,51.0,1.0,1.0,194.84910666461607,571.9108694671047,-0.98
-0.97,0.03,51.0,1.0,1.0,195.310955654827,567.8427310959132,-0.97
-0.96,0.03,51.0,1.0,1.0,195.21500764651674,569.5648497509791,-0.96
-0.95,0.03,51.0,1.0,1.0,195.31491268482404,573.1412579109364,-0.95
-0.94,0.03,51.0,1.0,1.0,195.26030637958473,573.5799516948698,-0.94
-0.93,0.03,51.0,1.0,1.0,195.23011497532517,572.071244547406,-0.93
-0.92,0.03,51.0,1.0,1.0,195.20474714805263,570.4928110909024,-0.92
-0.91,0.03,51.0,1.0,1.0,195.18491907943425,568.8923076252358,-0.91
-0.9,0.03,51.0,1.0,1.0,195.22715397769528,567.396296470732,-0.9
-0.89,0.03,51.0,1.0,1.0,195.36197927882506,566.2420064839799,-0.89
-0.88,0.03,51.0,1.0,1.0,195.47400918222633,565.7486811693118,-0.88
-0.87,0.03,51.0,1.0,1.0,195.54913013647524,566.1802379907501,-0.87
-0.86,0.03,51.0,1.0,1.0,195.5828192692661,567.5953435996923,-0.86
-0.85,0.03,51.0,1.0,1.0,195.5761442368778,569.8301385256306,-0.85
-0.84,0.03,51.0,1.0,1.0,195.64534615440752,568.9454089015553,-0.84
-0.83,0.03,51.0,1.0,1.0,195.8441008530818,563.4214397336516,-0.83
-0.82,0.03,51.0,1.0,1.0,196.04281548839208,557.7186263161198,-0.82
-0.81,0.03,51.0,1.0,1.0,196.24617709904336,551.6610207385825,-0.81
-0.8,0.03,51.0,1.0,1.0,196.36663174106513,545.9602830736136,-0.8
-0.79,0.03,51.0,1.0,1.0,196.33880382286256,539.2202726522352,-0.79
-0.78,0.03,51.0,1.0,1.0,196.30777033782766,530.8767412799626,-0.78
-0.77,0.03,51.0,1.0,1.0,196.2577351007939,526.4128602427324,-0.77
-0.76,0.03,51.0,1.0,1.0,196.1680828139501,533.9210126818607,-0.76
