MagCAPShock,IF_sens_r,reliab_total,reliab_avg,reliab_min,d_end,π_end,Δμ_pc
-0.51,4.710805822269944,51.0,1.0,1.0,199.07618602562044,524.13469327937,-0.51
-0.5,4.710805822269944,51.0,1.0,1.0,199.12790519602737,524.2753223310353,-0.5
-0.49,4.710805822269944,51.0,1.0,1.0,199.18011736047677,524.4602789767958,-0.49
-0.48,4.710805822269944,51.0,1.0,1.0,199.2327607663463,524.6832078894683,-0.48
-0.47,4.710805822269944,51.0,1.0,1.0,199.2859338942569,524.9811895907483,-0.47
-0.46,4.710805822269944,51.0,1.0,1.0,199.34816778590923,524.9496509168226,-0.46
-0.45,4.710805822269944,51.0,1.0,1.0,199.41198278679693,524.7530783650041,-0.45
-0.44,4.710805822269944,51.0,1.0,1.0,199.47706979923652,523.5036857943077,-0.44
-0.43,4.710805822269944,51.0,1.0,1.0,199.54415185152095,522.3584875182979,-0.43
-0.42,4.710805822269944,51.0,1.0,1.0,199.6131549981604,521.3271073054707,-0.42
-0.41,4.710805822269944,51.0,1.0,1.0,199.68392535812697,520.4141919415284,-0.41
-0.4,4.710805822269944,51.0,1.0,1.0,199.75632623105443,519.3951238891065,-0.4
-0.39,4.710805822269944,51.0,1.0,1.0,199.83029402107994,518.659078527928,-0.39
-0.38,4.710805822269944,51.0,1.0,1.0,199.9058691444643,518.2258765973429,-0.38
-0.37,4.710805822269944,51.0,1.0,1.0,199.98320993570374,518.1023716692557,-0.37
-0.36,4.710805822269944,51.0,1.0,1.0,200.0625898060837,518.1621259254249,-0.36
-0.35,4.710805822269944,51.0,1.0,1.0,200.14437980523311,518.1763595967311,-0.35
-0.34,4.710805822269944,51.0,1.0,1.0,200.229022036012,518.3339123119798,-0.34
-0.33,4.710805822269944,51.0,1.0,1.0,200.31699824949428,518.6283568805469,-0.33
-0.32,4.710805822269944,51.0,1.0,1.0,200.40029538708063,515.5453486075686,-0.32
-0.31,4.710805822269944,51.0,1.0,1.0,200.4871931133838,508.0626414853651,-0.31
-0.3,4.710805822269944,51.0,1.0,1.0,200.5565948886976,506.97674030757423,-0.3
-0.29,4.710805822269944,51.0,1.0,1.0,200.62520750713674,501.8313937469503,-0.29
-0.28,4.710805822269944,51.0,1.0,1.0,200.69431714992757,497.45644735903187,-0.28
-0.27,4.710805822269944,51.0,1.0,1.0,200.7645550754367,494.27626720158844,-0.27
-0.26,4.710805822269944,51.0,1.0,1.0,200.81740780367534,489.4995882386758,-0.26
-0.25,4.710805822269944,51.0,1.0,1.0,200.87192665575262,484.7689139220434,-0.25
